dataset_setting,model,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,cv_balanced_accuracy_mean,test_accuracy,test_balanced_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_f1
External UCI Dataset - 3-Class Performance with Prior Grades,Random Forest,0.8611218552040087,0.027002994426449434,0.8494244535822958,0.028424731523575907,0.8477214898220365,0.8851674641148325,0.8830033204109661,0.8722081788563082,0.8830033204109661,0.876279614858742,0.8847207566850339
External UCI Dataset - 3-Class Performance with Prior Grades,Gradient Boosting,0.8706926931573022,0.02008097440361997,0.8594984245850267,0.021280390801653514,0.8521967309857087,0.8755980861244019,0.8721409986729945,0.8617845117845118,0.8721409986729945,0.8661683786419516,0.8753461356231014
External UCI Dataset - 3-Class Performance with Prior Grades,Linear SVM,0.8311802171166293,0.025260388897281355,0.8204618752669731,0.028700539906615162,0.8261536802843278,0.861244019138756,0.9054552092206595,0.8360011404366242,0.9054552092206595,0.8595053694194474,0.8624730518145484
External UCI Dataset - 3-Class Performance with Prior Grades,Decision Tree,0.8215878909775406,0.018540374301066566,0.8147875236500433,0.018765013544007773,0.8354490694590192,0.8516746411483254,0.8774200464741639,0.8252896644462758,0.8774200464741639,0.8464587652360578,0.8525826156088792
External UCI Dataset - 3-Class Performance with Prior Grades,Logistic Regression,0.8335782986514015,0.026945308995537525,0.8252735228252419,0.02960379857612868,0.8419680746927775,0.84688995215311,0.883716078785877,0.8193395252837977,0.883716078785877,0.8432732316227461,0.8479849225889083
External UCI Dataset - 3-Class Performance with Prior Grades,KNN,0.7389615189568776,0.0274921505100075,0.661462828811355,0.04474920835618931,0.6193678517105203,0.7511961722488039,0.6641024749520481,0.774537037037037,0.6641024749520481,0.6988315874294923,0.738505758205491
External UCI Dataset - 3-Class Performance with Prior Grades,Dummy Baseline,0.5844313796274808,0.0014754483759285553,0.24590546915476888,0.00039174595666748117,0.3333333333333333,0.583732057416268,0.3333333333333333,0.19457735247208932,0.3333333333333333,0.2457200402819738,0.43030399398661445
External UCI Dataset - Early Prediction without G1/G2,Linear SVM,0.5676448088840755,0.013836107843574235,0.5155443994214993,0.012514983248557402,0.5195256103695258,0.5789473684210527,0.5334503879607578,0.5323996265172736,0.5334503879607578,0.5326151541533187,0.5817341213766757
External UCI Dataset - Early Prediction without G1/G2,Random Forest,0.6251385987983806,0.02018472484837102,0.526265244019582,0.021002490496094695,0.5042503697364961,0.6267942583732058,0.5021846333930196,0.5831190880426874,0.5021846333930196,0.5188007903611593,0.5997618424624567
External UCI Dataset - Early Prediction without G1/G2,Gradient Boosting,0.615550570296451,0.03129319060047829,0.5124053133901574,0.04608430389602041,0.49329994212974154,0.631578947368421,0.48774403282165396,0.6007373029195878,0.48774403282165396,0.5081973581973581,0.5963328537491216
External UCI Dataset - Early Prediction without G1/G2,Logistic Regression,0.5125920768761335,0.016677316425242762,0.5022614765874658,0.015118712158160715,0.5483438305945594,0.48325358851674644,0.5625199195684045,0.49576845158892846,0.5625199195684045,0.4865728900255754,0.47998017596886894
External UCI Dataset - Early Prediction without G1/G2,KNN,0.5796738952923682,0.026348796949618197,0.40194952608289763,0.06417210772312934,0.4068418734640331,0.583732057416268,0.40546390139596333,0.5155005822553741,0.40546390139596333,0.40420394420394423,0.5219348647099844
External UCI Dataset - Early Prediction without G1/G2,Decision Tree,0.41909698048013205,0.04092438383104566,0.4212699300993172,0.03785583824853794,0.49966365164485493,0.36363636363636365,0.47262254518482455,0.4196301925025329,0.47262254518482455,0.3706669362720318,0.3381513037563993
External UCI Dataset - Early Prediction without G1/G2,Dummy Baseline,0.5844313796274808,0.0014754483759285553,0.24590546915476888,0.00039174595666748117,0.3333333333333333,0.583732057416268,0.3333333333333333,0.19457735247208932,0.3333333333333333,0.2457200402819738,0.43030399398661445
Original Higher Education Dataset - 3-Class Performance,Gradient Boosting,0.7071524966261808,0.020993723597981157,0.6286799620132953,0.036851998382544965,0.6356837606837608,0.7241379310344828,0.682051282051282,0.6841676841676841,0.682051282051282,0.6815114709851552,0.7288845455814602
Original Higher Education Dataset - 3-Class Performance,Decision Tree,0.532838506522717,0.13527439556281975,0.48037423876433155,0.13021127570666888,0.4811253561253561,0.6206896551724138,0.6273504273504273,0.6127946127946128,0.6273504273504273,0.6105263157894737,0.6269812462189959
Original Higher Education Dataset - 3-Class Performance,Logistic Regression,0.5771479982006298,0.08161636675369538,0.5301776745565039,0.10373157521172464,0.5367996201329535,0.5517241379310345,0.4863247863247863,0.5535205535205535,0.4863247863247863,0.510507792860734,0.5813387423935091
Original Higher Education Dataset - 3-Class Performance,Linear SVM,0.5852451641925326,0.10083499574552625,0.5140821796130945,0.13690953312529822,0.5283713200379867,0.5172413793103449,0.452991452991453,0.5291005291005292,0.452991452991453,0.4749999999999999,0.5419540229885057
Original Higher Education Dataset - 3-Class Performance,Random Forest,0.5686009896536213,0.036501057625012705,0.5044010461083632,0.03205669106783563,0.5011870845204178,0.5862068965517241,0.4743589743589744,0.5333333333333333,0.4743589743589744,0.4646464646464647,0.5559038662486939
Original Higher Education Dataset - 3-Class Performance,KNN,0.5512820512820512,0.03774256780481986,0.46262981446553764,0.031057412120442364,0.4797008547008547,0.5517241379310345,0.44102564102564107,0.41269841269841273,0.44102564102564107,0.40196078431372556,0.488843813387424
Original Higher Education Dataset - 3-Class Performance,Dummy Baseline,0.46558704453441296,0.005725560981267567,0.21177944862155387,0.001772197446582839,0.3333333333333333,0.4482758620689655,0.3333333333333333,0.14942528735632185,0.3333333333333333,0.20634920634920637,0.277504105090312
